Skin Image,Skin Name,Skin Edition,Skin Collection,Skin Cost,Skin Weapon
https://static.wikia.nocookie.net/valorant/images/8/86/Aperture_Outlaw.png/revision/latest?cb=20240910162923,Aperture Outlaw,Deluxe,Aperture,1275,Outlaw
https://static.wikia.nocookie.net/valorant/images/c/c9/Araxys_Outlaw.png/revision/latest?cb=20241210223733,Araxys Outlaw,Exclusive,Araxys,2175,Outlaw
https://static.wikia.nocookie.net/valorant/images/a/ae/Ego_Outlaw.png/revision/latest?cb=20240109154221,Ego Outlaw,Premium,Ego,1775,Outlaw
https://static.wikia.nocookie.net/valorant/images/b/b3/Holomoku_Outlaw.png/revision/latest?cb=20240514190830,Holomoku Outlaw,Deluxe,Holomoku,1275,Outlaw
https://static.wikia.nocookie.net/valorant/images/4/43/PrismReloaded_Outlaw.png/revision/latest?cb=20240109154341,PrismReloaded Outlaw,Deluxe,Prism//Reloaded,1275,Outlaw
https://static.wikia.nocookie.net/valorant/images/0/05/RGX_11z_Pro_Outlaw.png/revision/latest?cb=20240716162846,RGX 11z Pro Outlaw,Exclusive,RGX 11z Pro,2175,Outlaw
